timestep,demand_el,pv,wind,demand_heat
152,297625.8839119,0.0,0.99818,460281.6217045801
153,307655.0537432,0.0,0.99804,464656.9222911255
154,308287.3575936,0.00060963,0.99805,410403.195017962
155,310562.7283837,0.006088,0.99812,213514.66862341735
156,313235.0198389,0.0074218,0.99831,95381.55278669056
157,312976.5598709,0.0053112,0.99846,29371.87412408004
158,310087.3466567,0.0039527,0.99843,26924.217947073368
159,306081.2171521,0.0015335,0.99838,27740.103339408925
160,304941.2240788,0.0,0.99828,58743.74824816008
161,305795.0650446,0.0,0.9981,158281.766113098
162,320905.7424619,0.0,0.99796,504217.1724633741
163,324574.9509367,0.0,0.99793,850968.4642059855
164,320148.823984,0.0,0.99783,613545.8150363386
165,306182.7549967,0.0,0.99774,496874.203932354
166,294173.5971959,0.0,0.99771,463422.90284659615
167,286858.2570291,0.0,0.9976,385097.90518238273
168,269818.3605647,0.0,0.99748,474845.2983392939
169,255418.4480596,0.0,0.99739,438946.3410765295
170,245320.0478797,0.0,0.99752,332065.3546805716
171,238083.1687746,0.0,0.99789,317379.4176185315
172,233121.6604595,0.0,0.99814,285559.88731744484
173,234907.8034529,0.0,0.99854,328801.81311122933
174,243616.9813046,0.0,0.999,421812.7478374829
175,265604.5400143,0.0,0.99941,411206.2377371205
176,295710.5109345,0.0,0.99966,429155.7163685028
177,306058.1403692,0.0,0.9998,433235.1433301806
178,308236.5886713,0.01781,0.99986,382650.249005376
179,311079.6483197,0.050901,0.99987,199076.03572987585
180,313968.8615339,0.060377,0.99984,88931.50776457567
181,314162.7065099,0.050395,0.99976,30971.01084025057
182,308250.434741,0.040749,0.99963,28390.09327022969
183,303436.6178362,0.024728,0.99951,29250.399126903318
184,300302.7907238,0.0073169,0.99937,61942.02168050114
185,303062.7739539,0.0,0.99911,166899.33619468362
186,318958.0619884,0.0,0.99851,531669.0194243015
187,321094.9720813,0.0,0.99745,897299.008510593
188,313041.1748629,0.0,0.99587,646950.0042185675
189,296398.1990637,0.0,0.99444,523926.26671423885
190,286082.877125,0.0,0.99361,488653.7265906201
191,283433.6624525,0.0,0.99172,406064.3643499519
192,270256.819439,0.0,0.98884,500698.0085840509
193,260107.6503369,0.0,0.98624,462844.5508904113
194,250876.9371926,0.0,0.98548,350144.48366616614
195,244406.2072784,0.0,0.98655,334658.9782460408
196,239283.1614833,0.0,0.98977,301107.04983576946
197,237243.1738784,0.0,0.99201,346703.2602394717
198,235244.7244827,0.0,0.99339,444778.1279002652
199,232637.0480194,0.0,0.99312,433594.151763508
200,242656.9871376,0.0,0.9922,452520.88061032776
201,256646.1329078,0.0,0.98897,456822.4098936959
202,270976.8150643,0.069159,0.98065,403483.446779931
203,280678.294579,0.1797,0.97199,209914.62902836496
204,287061.3327182,0.21466,0.96335,93773.33837742536
205,288930.55213,0.18781,0.95627,99211.00567159556
206,284172.1195041,0.1522,0.9492,97246.431301861
207,276358.3208274,0.094903,0.94247,107069.3031505338
208,274096.7961071,0.033534,0.92632,151272.22646956154
209,277978.3109842,0.0,0.91662,304509.02730885765
210,291856.6881967,0.0,0.92451,680725.019113027
211,296762.8122329,0.0,0.94718,873253.3073470144
212,289281.3192295,0.0,0.96859,709211.3474741782
213,273852.1822087,0.0,0.98113,587407.7365506352
214,266292.2281436,0.0,0.98932,587407.7365506352
215,267418.3751472,0.0,0.99379,468550.9871816939
216,258759.9662178,0.0,0.99579,466586.41281195934
217,246049.2742181,0.0,0.99628,433188.6485264717
218,235383.1851798,0.0,0.99629,377198.27898903657
219,228875.5324131,0.0,0.99633,356570.24810682365
